transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000500,card_00202,2026-01-03T20:43:59Z,pharmacy,True,False,dev_001742,US,6701
txn_0000501,card_00019,2026-01-15T03:09:00Z,electronics,False,False,dev_002276,IN,2134
txn_0000502,card_00116,2026-01-16T09:08:09Z,electronics,False,False,dev_001127,IN,10091
txn_0000503,card_00681,2026-01-27T16:57:42Z,restaurant,True,False,dev_004900,DE,2819
txn_0000504,card_00384,2026-01-20T21:24:32Z,grocery,True,True,dev_000595,IN,123102
txn_0000505,card_00296,2026-01-24T14:11:14Z,fuel,False,False,dev_002476,IN,10287
txn_0000506,card_00391,2026-01-17T11:34:43Z,entertainment,True,False,dev_002145,AE,4548
txn_0000507,card_00799,2026-01-23T22:24:46Z,travel,False,False,dev_002282,DE,9976
txn_0000508,card_00049,2026-01-29T07:08:28Z,travel,False,False,dev_004604,AE,4936
txn_0000509,card_00255,2026-01-19T07:56:10Z,grocery,False,False,dev_002638,GB,20220
txn_0000510,card_00110,2026-01-26T05:50:14Z,online_retail,True,False,dev_003878,US,11928
txn_0000511,card_00394,2026-01-05T18:54:45Z,entertainment,False,False,dev_001134,US,450
txn_0000512,card_00332,2026-01-15T07:39:15Z,fuel,False,False,dev_004179,US,10710
txn_0000513,card_00623,2026-01-22T12:13:46Z,pharmacy,True,False,dev_004150,IN,19139
txn_0000514,card_00409,2026-01-08T17:06:50Z,electronics,False,False,dev_002609,AE,4559
txn_0000515,card_00384,2026-01-21T16:31:07Z,grocery,True,False,dev_002365,IN,1832
txn_0000516,card_00549,2026-01-07T21:39:53Z,utilities,True,False,dev_002726,DE,1173
txn_0000517,card_00195,2026-01-18T17:45:25Z,grocery,False,False,dev_003762,AE,1853
txn_0000518,card_00360,2026-01-10T09:57:03Z,restaurant,True,False,dev_000770,US,1903
txn_0000519,card_00618,2026-01-17T22:04:42Z,electronics,False,False,dev_003578,AE,9149
txn_0000520,card_00604,2026-01-19T23:50:15Z,restaurant,True,False,dev_000903,US,13152
txn_0000521,card_00266,2026-01-28T01:17:22Z,grocery,False,False,dev_003945,SG,10700
txn_0000522,card_00032,2026-01-15T18:11:20Z,online_retail,False,False,dev_001262,IN,4315
txn_0000523,card_00564,2026-01-11T18:05:52Z,pharmacy,False,False,dev_002090,DE,12073
txn_0000524,card_00509,2026-01-08T16:42:19Z,travel,True,False,dev_004871,AE,1723
txn_0000525,card_00258,2026-01-18T20:34:12Z,restaurant,True,False,dev_004978,SG,2610
